LEI,Entity.LegalName,Entity.LegalAddress.City,Entity.LegalAddress.Country,Registration.RegistrationStatus
0292001203H4S4WAD755,PHRONESIS SECURITIES LIMITED,LAGOS,NG,LAPSED
0292001216G8N0CBG639,INVESTMENT CENTRE LIMITED,LAGOS,NG,LAPSED
0292001228G1S0WCI668,GLOBAL ASSET MANAGEMENT NIG LTD,LAGOS,NG,ISSUED
029200122C3N8YC2D645,INVESTMENT ONE STOCKBROKERS INTL LTD,LAGOS,NG,ISSUED
0292001236A9P9DG0J48,CENTREPOINT INVESTMENTS LIMITED,LAGOS,NG,ISSUED
0292001245E9N6UEF412,CROWN CAPITAL LIMITED,LAGOS,NG,ISSUED
0292001257H8N2UFH736,MBL FINANCIAL SERVICES LIMITED,LAGOS,NG,LAPSED
0292001263B6R0XGD136,HEDGE SECURITIES AND INVESTMENTS COMPANY LIMITED,LAGOS,NG,ISSUED
0292001272D9O1HC3J91,LIGHTHOUSE ASSET MANAGEMENT LIMITED,LAGOS,NG,LAPSED
0292001288A8N0WII032,KUNDILA FINANCE SERVICES LTD,KANO,NG,ISSUED
0292001297D5OJH3F781,NIGERIAN STOCKBROKERS LIMITED,LAGOS,NG,ISSUED
0292001307C4L7DAH237,DYNAMIC PORTFOLIO LIMITED,LAGOS,NG,ISSUED
0292001310F6S6BA5G23,TRW STOCKBROKERS LIMITED,LAGOS,NG,ISSUED
0292001323F1Q3ACD554,KOFANA SECURITIES AND INVESTMENT LTD,UYO,NG,ISSUED
0292001337J5P1VDH982,MAYFIELD INVESTMENT LIMITED,LAGOS,NG,LAPSED
0292001348H8N0ZEI754,CASHCRAFT SECURITIES LTD,LAGOS,NG,LAPSED
0292001358E9S7UFI494,RESORT SECURITIES AND TRUST LIMITED,LAGOS,NG,ISSUED
0292001360E9S6ZGA402,NETWORK CAPITAL LIMITED,LAGOS,NG,ISSUED
0292001376D5S9VHG314,FIRST INTEGRATED CAPITAL MANAGEMENT LIMITED,IKEJA,NG,ISSUED
0292001376F6T9DHG583,SPRINGBSPRINGBOARD TRUST AND INVESTMENT LTD,LAGOS,NG,ISSUED
029200137F2K8AH5C573,CAPITAL ASSETS LIMITED,LAGOS,NG,ISSUED
0292001381F1R1IB5B85,STANBIC IBTC STOCKBROKERS LIMITED,LAGOS,NG,ISSUED
0292001387C8O6VIH250,MAXIFUND INVESTMENTS AND SECURITIES PLC,LAGOS,NG,LAPSED
0292001396D5R9CJG339,ROYAL GUARANTY AND TRUST LIMITED,LAGOS,NG,ISSUED
0292001398F7K0YJI588,TRADELINK SECURITIES LTD,LAGOS,NG,LAPSED
0292001403A8O1VAD085,CORDROS CAPITAL LIMITED,LAGOS,NG,ISSUED
0292001407F6K0YAH588,RAINBOW SECURITIES AND INVESTMENT CO LTD,LAGOS,NG,ISSUED
029200140H7L9YA7H589,MARINA SECURITIES STOCKBROKING SERVICES LIMITED,LAGOS,NG,ISSUED
0292001416A2Q7DBG007,MORGAN CAPITAL SECURITIES LIMITED,LAGOS,NG,LAPSED
0292001418H7S9VBI781,TRADERS TRUST AND INVESTMENT CO LTD,LAGOS,NG,LAPSED
0292001427F6K7ACH512,CAMRY SECURITIES LIMITED,LAGOS,NG,LAPSED
0292001427H0P4XCH734,PINEFIELDS INVESTMENT SERVICES LIMITED,ABA,NG,ISSUED
0292001436A4KDG0E577,ICON STOCKBROKERS LIMITED,LAGOS,NG,DUPLICATE
0292001447G0O6UEH654,MBC SECURITIES LTD,LAGOS,NG,ISSUED
0292001458B2O3XFI179,LEAD SECURITIES AND INVESTMENT LIMITED,LAGOS,NG,LAPSED
0292001468G1O5XGI613,NEW PRUDENTIAL MORTGAGE BANK LTD,LAGOS,NG,LAPSED
0292001478B3R6B8HI82,EFCP LIMITED,LAGOS,NG,DUPLICATE
0292001488E5K9VII448,ZION STOCKBROKERS AND SECURITIES LTD,LAGOS,NG,ISSUED
0292001497F9R2ZJH523,FBC TRUST AND SECURITIES LTD,LAGOS,NG,ISSUED
0292001503F2S3CAD579,CHARTWELL SECURITIES LIMITED,LAGOS,NG,ISSUED
0292001518G9K5YBI667,FBN SECURITIES LIMITED,LAGOS,NG,ISSUED
0292001528C0T2VCI235,TRUSTHOUSE INVESTMENTS LIMITED,LAGOS,NG,ISSUED
0292001537D8P1DDH371,UNEX CAPITAL LIMITED,LAGOS,NG,LAPSED
0292001543G4S7CED690,GREENWICH SECURITIES LTD,LAGOS,NG,LAPSED
0292001558H4R9DFI732,ICMG SECURITIES LIMITED,LAGOS,NG,ISSUED
0292001568C3M3WGI292,ARM SECURITIES LTD,LAGOS,NG,ISSUED
029200156B8S2G1I9C02,NIGERIAN INTERNATIONAL SECURITIES LIMITED,LAGOS,NG,LAPSED
0292001577B5L4VHH124,ANCHORAGE SECURITIES AND FINANCE LIMITED,LAGOS,NG,LAPSED
0292001587J4M0YIH925,TOMIL TRUST LIMITED,LAGOS,NG,ISSUED
0292001593F7O1BJD562,INVESTMENT SHARK AND ASSET MANAGEMENT LIMITED,LAGOS,NG,ISSUED
0292001608H4N1VAI748,ENTERPRISE STOCKBROKERS PLC,LAGOS,NG,LAPSED
0292001615F0O0WF5A05,PYRAMID SECURITIES LIMITED,LAGOS,NG,ISSUED
0292001629A3Q7XJ0D13,SFC SECURITIES LIMITED,LAGOS,NG,ANNULLED
0292001629A3Q7XJ0D19,SFC SECURITIES LIMITED,LAGOS,NG,LAPSED
029200162D5Q8ZC3F843,SKYVIEW CAPITAL LIMITED,LAGOS,NG,LAPSED
0292001648C8T6BI2I15,TRANSWORLD INVESTMENT AND SECURITIES LIMITED,LAGOS,NG,ISSUED
0292001658A8K6DI0I96,FIDELITY FINANCE COMPANY LIMITED,LAGOS,NG,ISSUED
0292001668E6S7ZI4G80,PIVOT CAPITAL LIMITED,LAGOS,NG,ISSUED
0292001678F2M2YI5C67,ROYAL TRUST SECURITIES LIMITED,LAGOS,NG,LAPSED
0292001684F9TE5J9417,CAPITAL TRUST BROKERS LIMITED,LAGOS,NG,ANNULLED
0292001684F9TE5J9472,CAPITAL TRUST BROKERS LIMITED,LAGOS,NG,ISSUED
0292001697C5S3YH2F51,RENCAP SECURITIES NIGERIA LIMITED,VICTORIA ISLAND,NG,ISSUED
0292001707J6S5UH9G04,EXPRESS PORTFOLIO SERVICES LIMITED,KADUNA,NG,ISSUED
0292001715H8L9YF7I57,PILOT SECURITIES LIMITED,LAGOS,NG,ISSUED
0292001724A0L2AE0A68,TOWER ASSETS MANAGEMENT LIMITED,ABUJA,NG,LAPSED
0292001728J8L8WI9I19,PROMINENT SECURITIES LIMITED,LAGOS,NG,ISSUED
0292001733F9T2DD5J88,EQUITY CAPITAL SOLUTIONS LIMITED,LAGOS,NG,ISSUED
0292001746H8S8UG7I22,UNION CAPITAL MARKETS LIMITED,LEKKI,NG,ISSUED
029200175G8T2BF6I936,SMADAC SECURITIES LIMITED,LAGOS,NG,LAPSED
0292001765F4T9VF5E37,GRUENE CAPITAL LIMITED,LAGOS,NG,ISSUED
0292001776A2Q6BG0C89,CORE TRUST AND INVESTMENT LIMITED,LAGOS,NG,LAPSED
0292001788C3N5UI2D42,DOMINION TRUST LIMITED,LAGOS,NG,LAPSED
0292001790F2R1VA5C32,PLANET CAPITAL LIMITED,LAGOS,NG,LAPSED
0292001807C9M7ZH2J15,LONGTERM GLOBAL CAPITAL LIMITED,LAGOS,NG,LAPSED
0292001813C5N4CD2F81,EXPRESS DISCOUNT ASSET MANAGEMENT LIMITED,LAGOS,NG,LAPSED
0292001827F0O9UH5A25,DE-LORDS SECURITIES LIMITED,LAGOS,NG,ISSUED
0292001838G8M7YI6I18,ROYAL CREST FINANCE LIMITED,LAGOS,NG,ISSUED
0292001841J8K4CB9I82,AFRICAN ALLIANCE STOCKBORKERS LIMITED,LAGOS,NG,LAPSED
0292001858D6P0XI3G45,GIDAUNIYA INVESTMENT AND SECURITIES LIMITED,KANO,NG,LAPSED
0292001868F6N5VI5G15,GUARANTY TRUST BANK PLC,LAGOS,NG,ISSUED
0292001874A0N3YE0A92,LAMBETH TRUST AND INVESTMENT COMPANY LIMITED,LAGOS,NG,LAPSED
029200187H5Q8XH7F882,SOLID-ROCK SECURITIES AND INVESTMENT PLC,LAGOS,NG,LAPSED
0292001886C8T5XG2I69,GLOBALVIEW CAPITAL LIMITED,LAGOS,NG,LAPSED
0292001892G7M4VC6H63,KEDARI CAPITAL LIMITED,LAGOS,NG,LAPSED
0292001905D1O6DF3B24,SECURITIES AFRICA FINANCIAL LIMITED,LAGOS,NG,LAPSED
0292001912A4R7C0E894,HARMONY SECURITIES LIMITED,LAGOS,NG,LAPSED
0292001926H0K6VG7A05,HERITAGE CAPITAL MARKETS LIMITED,LAGOS,NG,LAPSED
0292001938G1M0YI6B07,STACO INSURANCE PLC,LAGOS,NG,LAPSED
029200193E9L4YD4J522,UBA SECURITIES LIMITED,LAGOS,NG,LAPSED
0292001948F8SI5I9871,GUINEA INSURANCE PLC,LAGOS,NG,LAPSED
